,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
84,thompson,CA,55.74,-97.86,42.8,87,90,13.87,1599419398
85,aksarka,RU,66.56,67.8,44.62,63,4,2.1,1599419398
86,samarai,PG,-10.62,150.67,78.22,86,100,14.81,1599419398
87,bathsheba,BB,13.22,-59.52,86.0,70,40,13.87,1599419398
88,talnakh,RU,69.49,88.4,46.4,87,40,8.95,1599419398
89,fairbanks,US,64.84,-147.72,48.99,81,1,9.17,1599419399
90,roald,NO,62.58,6.13,55.4,76,75,4.7,1599419399
91,atuona,PF,-9.8,-139.03,79.27,67,4,21.25,1599419399
92,myitkyina,MM,25.38,97.4,74.73,96,100,1.36,1599419283
93,ahipara,NZ,-35.17,173.17,55.62,88,64,11.74,1599419399
94,port alfred,CD,-7.03,29.76,78.06,40,59,5.95,1599419379
95,labuhan,ID,-6.88,112.21,77.29,81,16,9.73,1599419185
96,shache,CN,38.42,77.24,70.41,27,100,5.95,1599419400
97,puerto ayora,ES,36.59,-6.23,82.4,51,0,13.87,1599419400
98,ancud,CL,-41.87,-73.82,55.13,62,0,2.37,1599419400
99,kenai,US,60.55,-151.26,55.0,62,90,9.17,1599419401
100,hida,RO,47.07,23.28,68.0,60,0,2.39,1599419401
101,mar del plata,ES,43.4,-4.01,68.0,68,75,4.7,1599419401
102,atar,MR,20.52,-13.05,98.6,30,100,11.41,1599419403
103,pisco,PE,-13.7,-76.22,64.0,77,40,10.29,1599419404
104,cidreira,BR,-30.18,-50.21,60.67,98,100,7.76,1599419404
105,moron,AR,-34.65,-58.62,62.01,58,0,11.41,1599419313
106,vacaria,BR,-28.51,-50.93,57.99,99,86,9.95,1599419404
107,tuy hoa,PH,14.02,120.73,82.4,83,100,5.82,1599419404
108,norman wells,US,35.22,-97.44,90.0,55,0,17.92,1599419299
109,east london,IS,65.0,-15.0,51.8,81,75,21.92,1599419405
110,irtyshskiy,RU,58.33,68.13,48.02,77,100,10.02,1599419405
111,graaff-reinet,ZA,-32.25,24.53,52.0,94,97,3.78,1599419405
112,isangel,VU,-19.55,169.27,70.48,81,100,12.08,1599419405
113,castro,BR,-24.79,-50.01,79.57,42,0,7.56,1599419406
114,hobart,AU,-42.88,147.33,55.0,66,13,6.93,1599419218
115,shelburne,CA,44.08,-80.2,71.01,40,1,6.93,1599419406
116,butaritari,KI,3.07,172.79,83.55,73,100,18.68,1599419406
117,yumen,CN,40.28,97.2,63.19,30,0,12.82,1599419406
118,rudbar,AF,30.15,62.6,79.7,17,0,12.75,1599419407
119,mataura,NZ,-46.19,168.86,45.0,72,80,11.01,1599419407
120,honningsvag,NO,70.98,25.97,50.0,87,75,17.22,1599419407
121,camacha,PT,33.08,-16.33,73.4,78,20,8.05,1599419407
122,marawi,PH,8.0,124.29,75.99,91,85,5.99,1599419407
123,formoso do araguaia,BR,-14.95,-46.23,89.33,19,0,5.86,1599419408
124,sola,VU,-13.88,167.55,79.27,84,87,21.36,1599419408
125,arraial do cabo,BR,-22.84,-46.65,95.0,19,2,8.05,1599419408
126,acarau,BR,-2.89,-40.12,84.63,54,68,19.66,1599419408
127,santa eulalia del rio,PH,17.49,120.43,78.8,85,67,3.96,1599419408
128,chokwe,MZ,-24.53,32.98,62.64,77,0,5.41,1599419284
129,mareeba,AU,-17.0,145.43,69.8,88,90,10.29,1599419409
130,matara,LK,5.95,80.54,77.2,81,100,11.01,1599419409
131,westport,US,41.14,-73.36,82.99,42,40,6.93,1599419265
132,nanortalik,GL,60.14,-45.24,44.85,93,100,10.31,1599419409
133,bambanglipuro,ID,-7.95,110.28,76.51,84,100,7.09,1599419240
134,port macquarie,CD,-7.03,29.76,78.06,40,59,5.95,1599419379
135,omsukchan,RU,62.53,155.8,39.65,87,100,7.76,1599419156
136,tuktoyaktuk,CA,69.45,-133.04,37.4,74,90,9.17,1599419410
137,naze,JP,28.37,129.48,80.6,88,40,20.8,1599419410
138,gimli,CA,50.63,-96.99,64.99,99,99,10.0,1599419410
139,vicosa,BR,-20.75,-42.88,80.01,33,0,7.2,1599419410
140,shnogh,AM,41.15,44.84,77.0,47,40,3.36,1599419411
141,gloucester,GB,51.87,-2.24,60.01,87,100,3.89,1599419411
142,touros,BR,-5.2,-35.46,84.2,54,40,18.34,1599419411
143,padang,ID,-0.95,100.35,77.25,78,72,4.07,1599419411
144,prieska,ZA,-29.66,22.75,65.26,50,0,10.56,1599419411
145,provideniya,RU,64.38,-173.3,41.02,75,100,12.84,1599419412
146,ketchikan,US,55.34,-131.65,57.2,100,90,3.36,1599419412
147,pyay,MM,18.82,95.22,76.84,88,100,2.68,1599419412
148,san patricio,ML,13.3,-4.9,76.78,88,100,11.61,1599419371
149,mount isa,GB,53.66,-1.85,55.99,88,74,5.35,1599419413
150,haines junction,US,59.23,-135.44,51.8,71,1,16.11,1599419413
151,andes,CO,5.66,-75.88,75.99,64,84,3.98,1599419413
152,pimentel,PE,-6.84,-79.93,69.8,60,60,17.22,1599419413
153,kalabo,ZM,-14.97,22.68,69.8,23,0,5.3,1599419416
154,bandarbeyla,SO,9.49,50.81,75.92,80,2,31.27,1599419416
155,lavrentiya,RU,65.58,-171.0,41.18,79,95,10.25,1599419416
156,yanam,IN,16.73,82.22,79.83,86,0,1.52,1599419416
157,ribas do rio pardo,PT,41.45,-8.02,86.0,41,0,2.93,1599419416
158,asilah,MA,35.47,-6.03,80.6,54,0,14.99,1599419337
159,waipawa,NZ,-41.41,175.52,51.8,66,19,28.86,1599419417
160,sechura,PE,-5.56,-80.82,75.67,50,9,13.87,1599419417
161,avarua,CK,-21.21,-159.78,71.6,60,0,1.12,1599419417
162,garden acres,DE,53.69,12.05,55.4,76,20,5.82,1599419417
163,vostok,RU,46.49,135.88,55.87,86,100,2.57,1599419418
164,turukhansk,RU,65.82,87.98,41.65,88,100,4.0,1599419418
165,gamba,GA,-2.65,10.0,74.25,83,2,8.5,1599419272
166,dongtai,CN,32.85,120.31,68.63,96,0,7.49,1599419418
167,rawson,AR,-43.3,-65.1,59.38,35,0,4.07,1599419418
168,namatanai,PG,-3.67,152.43,79.14,81,13,7.18,1599419419
169,chuy,UY,-33.7,-53.46,55.42,72,38,11.43,1599419147
170,anadyr,RU,64.75,177.48,46.4,93,90,13.42,1599419419
171,belaya gora,UA,49.03,25.77,64.62,78,26,5.39,1599419419
172,lebu,CL,-37.62,-73.65,53.92,73,0,13.69,1599419420
173,bealanana,MG,-14.55,48.73,50.97,87,0,3.36,1599419420
174,piacabucu,BR,-10.41,-36.43,77.67,70,0,10.25,1599419420
175,ganzhou,CN,28.82,115.43,71.82,78,0,3.47,1599419420
176,vestmannaeyjar,IS,63.44,-20.27,53.6,93,75,26.4,1599419421
177,tuatapere,NZ,-46.13,167.68,45.0,72,10,11.01,1599419421
178,saint-philippe,RE,-21.36,55.77,66.2,82,39,4.7,1599419421
179,taoudenni,ML,22.68,-3.98,100.49,15,57,4.74,1599419421
180,guerrero negro,MX,17.67,-100.0,75.18,77,90,1.86,1599419422
181,faanui,PF,-16.48,-151.75,77.81,77,29,9.4,1599419422
182,arvika,SE,59.66,12.59,52.0,87,100,3.36,1599419422
183,rosario,AR,-32.95,-60.64,64.99,48,20,12.75,1599419367
184,sim,RU,54.99,57.7,47.57,90,14,2.86,1599419422
185,hirara,JP,24.8,125.28,80.38,76,0,15.1,1599419423
186,linhares,BR,-19.39,-40.07,79.63,61,30,7.63,1599419423
187,saldanha,ZA,-33.01,17.94,59.0,72,0,6.93,1599419423
188,upernavik,GL,72.79,-56.15,37.11,79,90,14.09,1599419314
189,saskylakh,RU,71.92,114.08,38.89,86,71,5.12,1599419423
190,imeni poliny osipenko,NG,7.32,5.96,72.43,95,100,5.3,1599419424
191,kharp,RU,66.8,65.81,52.07,73,100,0.43,1599419424
192,ojinaga,MX,29.57,-104.42,88.0,37,1,3.36,1599419283
193,mulatupo,PA,8.95,-77.77,85.59,70,45,5.82,1599419424
194,puerto lempira,ES,36.59,-6.23,82.4,51,0,13.87,1599419424
195,korla,CN,41.76,86.15,73.99,74,98,5.99,1599419425
196,sao felix do xingu,IN,20.51,76.21,77.41,80,4,1.97,1599419425
197,nichinan,JP,31.6,131.37,77.0,83,90,19.46,1599419425
198,masterton,NZ,-40.96,175.66,50.0,70,56,8.01,1599419425
199,erzin,TR,36.96,36.2,82.0,80,0,2.19,1599419425
200,hay river,GB,52.07,-3.13,60.01,91,87,3.74,1599419426
201,beitbridge,ZW,-22.22,30.0,62.69,57,0,11.39,1599419426
202,lompoc,US,34.64,-120.46,93.2,40,1,3.36,1599419255
203,ribeira grande,ES,42.75,-8.44,71.01,63,49,9.17,1599419426
204,ulladulla,AU,-35.35,150.47,46.0,100,0,7.02,1599419429
205,zacualpan,MX,21.25,-105.17,73.4,100,90,4.7,1599419429
206,moindou,NC,-21.69,165.68,62.6,88,100,1.12,1599419429
207,borgosesia,IT,45.71,8.28,68.0,90,2,4.41,1599419429
208,mount gambier,GB,53.66,-1.85,55.99,88,74,5.35,1599419430
209,tateyama,JP,34.98,139.87,78.01,93,100,10.09,1599419430
210,beringovskiy,RU,63.05,179.32,46.81,82,100,2.71,1599419430
211,constitucion,CL,-35.33,-72.42,59.34,59,0,12.15,1599419430
212,san quintin,ML,13.3,-4.9,76.78,88,100,11.61,1599419371
213,yelizovo,RU,53.19,158.38,51.8,100,90,4.47,1599419431
214,inuvik,CA,68.35,-133.72,35.6,74,75,2.24,1599419431
215,tyukhtet,RU,56.54,89.3,42.04,88,83,2.01,1599419431
216,carlyle,US,38.61,-89.37,84.2,62,1,9.17,1599419431
217,estelle,US,29.85,-90.11,91.0,55,75,5.82,1599419232
218,ponta do sol,PT,38.73,-28.27,71.6,60,20,19.46,1599419432
219,belmopan,BZ,17.25,-88.77,86.0,50,98,4.0,1599419432
220,bouna,CI,9.27,-3.0,73.15,93,100,5.28,1599419432
221,bikaner,IN,28.02,73.3,91.36,41,0,7.34,1599419140
222,otjiwarongo,NA,-20.46,16.65,70.97,23,12,11.72,1599419433
223,jiwani,PK,25.05,61.74,82.51,79,0,10.78,1599419433
224,khasan,RU,42.43,130.64,64.31,82,100,2.77,1599419222
225,roebourne,AU,-20.78,117.13,68.38,73,94,9.35,1599419434
226,port lincoln,CD,-7.03,29.76,78.06,40,59,5.95,1599419391
227,mitsamiouli,KM,-11.38,43.28,75.47,73,0,5.46,1599419434
228,salihorsk,BY,52.79,27.54,59.5,96,82,5.41,1599419434
229,tessalit,ML,20.2,1.01,95.92,23,53,8.46,1599419434
230,alofi,NU,-19.06,-169.92,71.6,60,25,13.87,1599419435
231,mosquera,CO,4.71,-74.23,64.4,59,75,8.05,1599419435
232,vestmanna,FO,62.16,-7.17,48.2,100,100,17.22,1599419435
233,palmer,US,42.16,-72.33,80.01,44,40,3.36,1599419435
234,naryan-mar,RU,67.67,53.09,57.6,83,100,8.01,1599419435
235,bow island,US,43.13,-71.55,78.01,46,80,1.99,1599419436
236,cabo san lucas,BR,-8.28,-35.03,82.4,54,20,13.87,1599419436
237,natal,BR,-5.79,-35.21,84.2,51,40,21.92,1599419264
238,tarakan,ID,3.3,117.63,80.83,78,100,3.65,1599419436
239,dickinson,US,29.46,-95.05,93.2,52,40,6.93,1599419437
240,gbongan,NG,7.47,4.35,72.41,97,100,3.78,1599419437
241,virden,US,39.5,-89.77,89.01,75,100,8.99,1599419437
242,laguna,US,38.42,-121.42,96.01,40,1,5.41,1599419437
243,mecca,SA,21.43,39.83,91.47,42,0,4.25,1599419235
244,oudtshoorn,ZA,-33.59,22.2,55.4,100,40,3.36,1599419438
245,ballina,AU,-28.87,153.57,57.2,87,40,3.36,1599419438
246,loukhi,RU,66.08,33.04,52.16,86,100,5.88,1599419438
247,minas,UY,-34.38,-55.24,55.4,66,40,18.34,1599419438
248,singapore,SG,1.29,103.85,78.8,94,75,7.58,1599419438
249,ozinki,RU,51.18,49.68,61.32,36,0,6.71,1599419439
250,nouadhibou,MR,20.93,-17.03,80.6,69,100,13.87,1599419439
251,troitsko-pechorsk,RU,62.71,56.2,52.57,92,18,2.71,1599419439
252,camana,PE,-16.62,-72.71,64.58,64,58,10.07,1599419439
253,new agutaya,LR,6.65,-10.59,78.8,94,75,9.17,1599419395
254,talavera,PH,15.62,120.93,75.79,93,99,2.04,1599419440
255,grand gaube,US,38.88,-109.5,89.6,8,1,3.36,1599419442
256,klaksvik,FO,62.23,-6.59,48.2,100,96,17.22,1599419442
257,flinders,AU,-34.58,150.86,59.0,84,0,1.01,1599419442
258,dunedin,NZ,-45.87,170.5,46.99,73,25,3.0,1599419442
259,riohacha,CO,11.54,-72.91,89.6,70,40,11.41,1599419442
260,solnechnyy,RU,50.72,136.63,57.88,85,0,1.7,1599419443
261,pasvalys,LT,56.06,24.4,55.4,82,0,6.93,1599419443
262,krasnoselkup,RU,65.7,82.47,43.11,84,100,8.43,1599419443
263,codrington,AU,-38.27,141.97,56.03,58,0,18.95,1599419443
264,grasse,FR,43.67,6.92,73.4,78,0,1.61,1599419443
265,mys shmidta,RU,62.06,48.62,54.84,92,76,5.64,1599419444
266,geraldton,AU,-28.77,114.6,60.8,100,75,13.87,1599419444
267,nyirabrany,HU,47.55,22.02,71.6,68,0,4.7,1599419444
268,bijie,CN,27.31,105.29,60.96,93,100,3.36,1599419444
269,ugoofaaru,MV,5.67,73.0,82.56,77,100,16.91,1599419444
270,zhanakorgan,KZ,43.91,67.25,59.09,32,0,11.7,1599419445
271,alekseyevka,RU,50.63,38.69,64.85,28,10,6.87,1599419445
272,cap malheureux,FR,49.27,-1.21,63.0,82,90,5.82,1599419445
273,soligalich,RU,59.08,42.29,57.76,82,100,6.87,1599419445
274,vaitape,PF,-16.52,-151.75,78.64,76,37,9.53,1599419445
275,lakefield,US,43.68,-95.17,88.0,54,1,12.75,1599419446
276,sao joao da barra,IN,20.51,76.21,77.41,80,4,1.97,1599419378
277,bur gabo,DK,56.37,8.43,53.01,77,37,13.47,1599419446
278,mahebourg,MU,-20.41,57.7,71.6,78,40,8.05,1599419446
279,omboue,GA,-1.57,9.26,74.55,78,0,8.48,1599419446
280,jorpeland,NO,59.02,6.04,57.2,71,75,16.11,1599419446
281,puerto del rosario,ES,36.59,-6.23,82.4,51,0,13.87,1599419424
282,cururupu,BR,-1.83,-44.87,84.49,58,11,6.93,1599419447
283,muros,ES,42.78,-9.06,71.01,63,5,9.17,1599419447
284,beidao,CN,34.57,105.89,62.89,62,0,2.26,1599419447
285,roshchino,RU,60.25,29.61,57.0,87,19,7.4,1599419384
286,mehamn,NO,71.04,27.85,50.0,87,75,17.22,1599419448
287,gornopravdinsk,RU,60.05,69.9,46.69,93,100,10.45,1599419448
288,qaqortoq,GL,60.72,-46.03,44.6,93,75,6.93,1599419448
289,karachi,PK,24.91,67.08,82.4,78,40,5.82,1599419344
290,pochutla,MX,15.74,-96.47,86.0,78,90,13.87,1599419449
291,prainha,BR,-1.8,-53.48,93.76,42,19,5.91,1599419449
292,lima,PE,-12.04,-77.03,62.6,77,90,6.93,1599419227
293,metu,ET,8.3,35.58,57.6,97,0,2.06,1599419449
294,warrnambool,AU,-38.38,142.48,53.01,72,0,11.01,1599419449
295,tiznit,MA,29.58,-9.5,84.06,36,0,4.99,1599419449
296,grindavik,IS,63.84,-22.43,50.0,100,90,26.4,1599419450
297,vila franca do campo,PT,42.03,-8.16,73.0,58,0,11.99,1599419281
298,hasaki,JP,35.73,140.83,77.0,94,75,4.7,1599419450
299,leningradskiy,RU,69.38,178.42,39.76,73,0,6.13,1599419450
300,maniitsoq,GL,65.42,-52.9,41.38,84,100,17.52,1599419450
301,meulaboh,ID,4.14,96.13,75.7,78,100,3.06,1599419450
302,micheweni,TZ,-4.97,39.83,75.65,77,0,11.45,1599419304
303,jumla,NP,29.27,82.18,58.41,68,5,2.21,1599419451
304,husavik,IS,66.04,-17.34,50.0,93,90,5.82,1599419451
305,severo-kurilsk,RU,50.68,156.12,54.21,93,100,5.5,1599419451
306,san juan,ML,13.3,-4.9,76.78,88,100,11.61,1599419371
307,dubbo,AU,-32.25,148.62,51.8,87,0,13.87,1599419454
308,litoral del san juan,BR,-30.01,-50.16,61.65,97,100,5.03,1599419454
309,hobyo,SO,5.35,48.53,76.21,81,1,21.54,1599419454
310,bagdarin,RU,54.43,113.6,50.49,85,100,1.14,1599419454
311,cedar city,US,41.21,-92.53,91.4,49,51,19.46,1599419454
312,stromness,GB,58.97,-3.3,50.0,81,20,4.7,1599419455
313,macamic,CA,48.75,-79.0,64.4,45,75,10.29,1599419455
314,roma,US,43.21,-75.46,71.01,49,20,3.36,1599419286
315,manakara,MG,-22.13,48.02,63.77,84,13,4.92,1599419229
316,passo de camaragibe,ID,-3.63,128.25,79.0,14,89,1.01,1599419455
317,hamilton,US,39.18,-84.53,82.99,54,1,9.17,1599419330
318,boquim,BR,-11.15,-37.62,82.4,61,20,12.75,1599419456
319,arona,ES,28.1,-16.68,77.0,73,0,17.22,1599419456
320,lata,PT,40.16,-8.33,82.99,53,0,2.98,1599419456
321,galashiels,GB,55.61,-2.81,55.0,83,100,2.06,1599419456
322,shalakusha,RU,62.22,40.25,59.41,96,100,6.62,1599419456
323,homer,US,59.64,-151.55,55.4,62,75,8.08,1599419457
324,marzuq,YE,14.4,46.47,80.8,50,0,4.97,1599419457
325,rumphi,MW,-11.02,33.86,58.78,62,58,3.18,1599419457
326,hansi,IN,29.1,75.97,85.96,61,3,5.1,1599419457
327,ahuimanu,US,21.44,-157.84,78.8,69,90,14.99,1599419288
328,salalah,OM,17.02,54.09,80.6,83,75,8.05,1599419198
329,bolshevik,BY,54.01,27.57,59.0,100,100,4.47,1599419458
330,elizabeth city,US,40.66,-74.21,86.0,42,40,9.17,1599419371
331,progreso,MX,21.28,-89.67,89.6,59,75,4.7,1599419458
332,imbituba,BR,-28.24,-48.67,69.8,73,75,10.29,1599419458
333,huangnihe,CN,43.56,128.02,57.4,90,100,1.01,1599419458
334,srednekolymsk,RU,67.45,153.68,50.14,70,100,2.35,1599419459
335,carutapera,BR,-1.2,-46.02,84.25,65,14,11.45,1599419459
336,hassleholm,SE,56.16,13.77,57.0,81,0,5.64,1599419294
337,najran,SA,17.49,44.13,86.0,22,0,4.7,1599419459
338,ilulissat,GL,69.22,-51.1,39.2,80,100,4.7,1599419459
339,saint-leu,RE,-21.15,55.28,66.2,82,2,4.7,1599419460
340,esperance,AU,-33.87,121.9,51.8,100,75,21.92,1599419224
341,poya,NC,-21.35,165.15,67.3,80,100,3.76,1599419460
342,paramo,ES,43.1,-6.04,66.0,89,90,4.0,1599419460
343,koksovyy,RU,48.2,40.6,73.54,21,100,11.03,1599419460
344,swan hill,PH,18.22,121.38,75.02,90,100,2.46,1599419460
345,vanimo,PG,-2.67,141.3,77.77,81,92,6.69,1599419461
346,maceio,BR,-9.67,-35.74,80.6,57,40,11.41,1599419217
347,vao,NC,-22.67,167.48,71.02,77,100,16.35,1599419461
348,xiaoweizhai,CN,26.19,107.51,67.3,93,100,3.27,1599419461
349,bonfim,BR,3.08,-59.95,91.29,50,100,4.88,1599419461
350,coahuayana,MX,18.73,-103.68,78.8,78,75,4.88,1599419263
351,kaitangata,NZ,-46.28,169.85,45.0,73,48,1.99,1599419462
352,naxos,GR,37.11,25.38,75.99,69,0,14.99,1599419462
353,jaisalmer,IN,26.91,70.92,90.75,46,0,10.78,1599419462
354,shadegan,IR,30.65,48.66,91.4,79,0,4.7,1599419228
355,ginir,ET,7.13,40.7,61.66,84,3,8.97,1599419462
356,tromso,NO,69.65,18.96,50.0,87,75,17.22,1599419463
357,fallon,US,39.47,-118.78,87.01,21,1,4.7,1599419269
358,yol,IN,32.17,76.2,75.13,69,29,3.15,1599419465
359,okhotsk,RU,59.38,143.3,51.04,92,100,7.56,1599419465
360,nuuk,GL,64.18,-51.72,44.6,93,100,1.12,1599419465
361,royan,FR,45.63,-1.03,66.2,52,0,8.05,1599419466
362,rockhampton,AU,-23.38,150.5,64.4,88,40,5.82,1599419466
363,puerto carreno,ES,36.59,-6.23,82.4,51,0,13.87,1599419466
364,athabasca,CA,54.72,-113.29,47.21,79,100,8.52,1599419466
365,smithers,CA,54.78,-127.17,53.6,93,90,11.41,1599419467
366,poum,NC,-20.23,164.02,72.5,76,100,13.76,1599419467
367,phagwara,IN,31.22,75.77,80.53,72,0,2.24,1599419467
368,tilichiki,RU,60.47,166.1,38.1,91,100,3.91,1599419467
369,muzhi,RU,65.37,64.67,49.15,78,84,1.9,1599419467
370,komatipoort,ZA,-25.43,31.95,62.6,72,0,3.36,1599419468
371,truckee,US,39.33,-120.18,81.0,28,5,10.04,1599419245
372,parkes,AU,-33.13,148.18,53.01,91,0,5.01,1599419468
373,stara moravica,PL,51.24,19.96,57.0,84,100,3.96,1599419468
374,digha,IN,21.68,87.55,83.08,84,100,15.43,1599419468
375,sibu,MY,2.3,111.82,73.4,100,40,2.24,1599419469
376,hengyang,CN,26.89,112.61,71.44,89,99,4.68,1599419469
377,tabou,CI,4.42,-7.35,75.83,84,100,10.42,1599419469
378,zheleznodorozhnyy,RU,55.75,38.0,66.0,76,64,2.24,1599419469
379,zarand,IR,30.81,56.56,63.09,26,0,2.55,1599419469
380,port moresby,CD,-7.03,29.76,78.06,40,59,5.95,1599419470
381,villacarrillo,ES,38.12,-3.08,82.0,33,0,3.56,1599419470
382,orlik,RU,52.52,99.83,42.42,77,44,3.29,1599419470
383,aswan,EG,24.09,32.91,102.2,14,54,12.37,1599419470
384,bukama,CD,-9.2,25.85,78.35,20,100,2.98,1599419470
385,torbay,CA,47.67,-52.73,71.01,40,40,10.29,1599419471
386,bilibino,RU,68.05,166.44,32.11,94,0,3.09,1599419471
